"metric","n","mean_baseline","mean_ATB","diff","dz","t_p","wilcox_p"
"theta power (band-z mean 0-500)",8,-0.00379147624155238,1.03738036801616,-1.04117184425772,-0.370323397261332,0.329713458879769,0.4609375
"theta power (band-z max 0-500)",8,1.68014521635511,1.96870145382926,-0.288556237474145,-0.137316234771509,0.709270255636785,0.640625
"theta ITPC (0-500, n-matched)",8,0.121569263820104,0.106593559875971,0.0149757039441324,0.245571919606374,0.509706449638663,0.3125
