sessID,participant,cond,nBreath,medRatio,meanLog2,meanRatio
250908_OBE_NWU_AS,AS,baseline,77,1.04427218372594,0.0719433321629813,1.05980258038642
250908_OBE_NWU_AS,AS,ATB,63,1.07604260874235,0.131015782453397,1.11269179937403
250904_OBE_NWU_TI_1,TI,baseline,71,0.983980760412751,0.0204626731965277,1.02532041192401
250904_OBE_NWU_TI_1,TI,ATB,74,1.00947555904389,0.0379731942336874,1.03899677323922
260326_OBE_NWU_AD_1,AD,baseline,76,1.01781933803813,0.066053652569745,1.09376653344327
260326_OBE_NWU_AD_1,AD,ATB,102,1.04858225486769,0.0570623877639522,1.04575017717025
260326_OBE_NWU_AD_2,AD,baseline,58,1.01993993345712,0.0151303297601417,1.01812246426652
260326_OBE_NWU_AD_2,AD,ATB,61,1.02472274992142,0.00849865351029329,1.01426479122216
260514_OBE_NWU_BW_1,BW,baseline,68,1.08447241020624,0.115933602520704,1.08965889549352
260514_OBE_NWU_BW_1,BW,ATB,39,1.08648795921184,0.0998589277884507,1.07514346387902
260608_OBE_NWU_RX_1,RX,baseline,75,0.927039758090852,-0.0993770089688806,0.941552240619355
260608_OBE_NWU_RX_1,RX,ATB,31,0.938860790810034,-0.029322966675864,0.993252088306872
260625_OBE_NWU_HM_2,HM,baseline,56,1.00749690757326,0.00880392713850467,1.01404001395717
260625_OBE_NWU_HM_2,HM,ATB,44,0.940364099112633,-0.0621581290075176,0.961689095946525
260702_OBE_NWU_SP_2,SP,baseline,105,1.04816056001041,0.0622545947579619,1.05562204108786
260702_OBE_NWU_SP_2,SP,ATB,78,1.04517151198268,0.0651021918985456,1.05952540318517
