subject,nBreath,nFocus,auc_gamma,auc_gamma_detrended,auc_time_only,perm_p_gamma,perm_p_detrended
AD,293,162,0.6134200358118933,0.6999340307228348,0.5186127603430403,0.007984031936127744,0.001996007984031936
AS,134,57,0.47619047619047616,0.48029163818637505,0.5803144224196856,0.5868263473053892,0.5588822355289421
BW,107,39,0.9260935143288085,0.9057315233785822,0.7058823529411764,0.001996007984031936,0.001996007984031936
CP,93,26,0.7640642939150402,0.7405281285878301,0.7847301951779564,0.001996007984031936,0.001996007984031936
RX,101,29,0.7140804597701149,0.6489463601532567,0.7835249042145593,0.007984031936127744,0.031936127744510975
TI,141,74,0.6163775716014522,0.6163775716014522,0.5318676885841065,0.041916167664670656,0.041916167664670656
