participant,nBreaths
AB,203
AD,162
AS,57
BS,39
BW,39
CP,26
DB,119
DL,68
GH,117
JA,56
JH,169
JL,147
JN,114
KS,152
PC,112
PD,79
RX,29
TB,79
TI,74
