metric,family,method,n_breath,n_subj,binary,cond_beta_raw,cond_p_raw,cond_p_raw_fdr,cond_beta_adj,cond_p_adj,cond_p_adj_fdr,cond_df_adj,cond_p_adj_rs,cond_p_adj_rs_fdr,rs_singular,cond_beta_adj_subj,cond_p_adj_subj,cond_p_adj_subj_fdr,cond_d_adj,direction_adj,airflow_attenuated,survives_adj_raw05,survives_adj_fdr,survives_honest
p3_aucZ,segment_gamma,lmer,859,6,FALSE,0.6338725439797002,1.9405420127007524e-27,1.6106498705416245e-25,0.4122828553113063,1.0425600091491812e-11,8.653248075938204e-10,852.905950274465,0.007774151719767748,0.2631299356270791,FALSE,0.29989146112562265,0.024705103533539313,0.9743723678974494,0.4349507988829078,higher_focus,FALSE,TRUE,TRUE,TRUE
p4_aucZ,segment_gamma,lmer,812,6,FALSE,-0.5466220742620391,1.4547299904704464e-16,6.037129460452352e-15,-0.32399251793248657,1.4702288873414487e-7,6.101449882467012e-6,803.7438326911379,0.10945270237097411,0.8141197551203583,FALSE,-0.37238306552072686,0.06388710353905774,0.9743723678974494,-0.32363505457001873,higher_audiobook,FALSE,TRUE,TRUE,FALSE
w5_bandDb,window_gamma,lmer,869,6,FALSE,-0.5647001592511849,8.551257755410185e-5,0.0017743859842476134,-0.6359569626162567,6.564397175554747e-5,0.0018161498852368135,858.8514863351589,0.08150114568395118,0.8141197551203583,FALSE,0.3168837515707285,0.6213216811545503,0.9743723678974494,-0.17991243729387382,higher_audiobook,FALSE,TRUE,TRUE,FALSE
p1_aucZ,segment_gamma,lmer,869,6,FALSE,0.08501499259435472,0.10280763740668854,0.26377834122965327,-0.165711740671201,1.6146029062081215e-4,0.0033503010303818524,851.312559711794,0.20928694153202435,0.8141197551203583,FALSE,-0.1773698517179034,0.2043780670890865,0.9743723678974494,-0.2139910555401159,higher_audiobook,FALSE,TRUE,TRUE,FALSE
p1_bandDb,segment_gamma,lmer,869,6,FALSE,-0.46148801940629813,0.0011524008458737541,0.013664181458217371,-0.5742208101503058,2.7437523756767185e-4,0.004554628943623353,858.9234263094377,0.18217445044543956,0.8141197551203583,FALSE,0.3279170731112958,0.6076649446175031,0.9743723678974494,-0.17072574508670832,higher_audiobook,FALSE,TRUE,TRUE,FALSE
p4_rpowDb,segment_gamma,lmer,812,6,FALSE,-0.5653525001147445,0.0028473862461992133,0.024817068992525445,-0.6859221755427087,8.298592465880836e-4,0.011479719577801823,802.3710050043761,0.004482898793025186,0.2631299356270791,FALSE,0.33047905140929745,0.7204443718373668,0.9743723678974494,-0.1690725843882999,higher_audiobook,FALSE,TRUE,TRUE,FALSE
p2_rpowDb,segment_gamma,lmer,869,6,FALSE,-0.7666244976725888,6.994424772646246e-4,0.009675620935493975,-0.7912611032507434,0.0015536967901505175,0.018422404797498994,859.3995016694224,0.13478139271628062,0.8141197551203583,FALSE,0.34051152065592133,0.6655808424008219,0.9743723678974494,-0.16577858996774594,higher_audiobook,FALSE,TRUE,TRUE,FALSE
p1_rpowDb,segment_gamma,lmer,869,6,FALSE,-0.5615448279347459,0.005768209346936478,0.03080202728340436,-0.6937181395983284,0.0021227924120815716,0.022023971275346305,859.8331587091111,0.013155622440047195,0.2729791656309793,TRUE,0.0174480775648774,0.9789576368890114,0.9789576368890114,-0.17228086108607835,higher_audiobook,FALSE,TRUE,TRUE,FALSE
w1_rpowDb,window_gamma,lmer,869,6,FALSE,-0.6892481447616813,0.0032890091435877093,0.024817068992525445,-0.7835176332461673,0.0026346959005244673,0.02429775108261453,860.2987643751126,0.20487049912117256,0.8141197551203583,FALSE,-0.057882847622810686,0.9469763490828011,0.9759095554368302,-0.17903150637098553,higher_audiobook,FALSE,TRUE,TRUE,FALSE
p2_bandDb,segment_gamma,lmer,869,6,FALSE,-0.45618690607905116,0.0032730179326794636,0.024817068992525445,-0.5025468633874534,0.0035785355272693357,0.02802145161147627,858.9154239489784,0.39496659701270687,0.9828693100201511,FALSE,0.5331911185570355,0.4078710534868607,0.9743723678974494,-0.13468358810261719,higher_audiobook,FALSE,TRUE,TRUE,FALSE
p3_bandDb,segment_gamma,lmer,859,6,FALSE,-0.3894383939833155,0.0050563480778286676,0.03080202728340436,-0.4471909184374365,0.0037359634228847026,0.02802145161147627,848.7947004515598,0.5666630912185536,0.9828693100201511,FALSE,0.6270962377171698,0.41459888949642565,0.9743723678974494,-0.12404450761731493,higher_audiobook,FALSE,TRUE,TRUE,FALSE
w2_bandDb,window_gamma,lmer,869,6,FALSE,-0.4124872076038695,0.004216633959458358,0.02916505155292031,-0.4597107177149155,0.004138399450218891,0.02802145161147627,858.911575129518,0.2853813346799651,0.9474660311374842,FALSE,0.4008608299205732,0.5590635364758467,0.9743723678974494,-0.13323406567092905,higher_audiobook,FALSE,TRUE,TRUE,FALSE
w3_bandDb,window_gamma,lmer,869,6,FALSE,-0.43038743405920205,0.0058269399028810336,0.03080202728340436,-0.4941570871023041,0.004388902059628813,0.02802145161147627,859.0143959510287,0.3962123343531425,0.9828693100201511,FALSE,0.49348994915857536,0.45082910633760387,0.9743723678974494,-0.13651847772995204,higher_audiobook,FALSE,TRUE,TRUE,FALSE
w5_rpowDb,window_gamma,lmer,869,6,FALSE,-0.8511323874613866,2.493595749705271e-4,0.00413936894451075,-0.6888395974281798,0.007255943972115854,0.04211490699626379,859.6612394984835,0.009510720564834183,0.2631299356270791,TRUE,0.1943792805357409,0.8075735955148674,0.9743723678974494,-0.1482852120488491,higher_audiobook,FALSE,TRUE,TRUE,FALSE
w1_bandDb,window_gamma,lmer,869,6,FALSE,-0.40029738748087573,0.005937740199210479,0.03080202728340436,-0.4233507710178903,0.008836024687614701,0.04211490699626379,858.940649579032,0.2131682206187666,0.8141197551203583,FALSE,0.37691895898044636,0.5961083559216642,0.9743723678974494,-0.12305483490397782,higher_audiobook,FALSE,TRUE,TRUE,FALSE
w4_bandDb,window_gamma,lmer,869,6,FALSE,-0.4023879701723817,0.010096394381726846,0.04655559631574045,-0.4545232620110051,0.008990397510761732,0.04211490699626379,858.9479366497922,0.35918760277897793,0.9828693100201511,FALSE,0.5283460461838589,0.42026929663010637,0.9743723678974494,-0.12210202613949966,higher_audiobook,FALSE,TRUE,TRUE,FALSE
w2_rpowZ,window_gamma,lmer,869,6,FALSE,0.10113046577314909,0.01654485720613998,0.06866115740548093,0.11836355372275145,0.009133353265216897,0.04211490699626379,545.3042525777159,0.05530111676928241,0.7649987819750734,TRUE,0.064761256584124835,0.21769744654508769,0.9743723678974494,0.19339514218053436,higher_focus,FALSE,TRUE,TRUE,FALSE
w2_aucZ,window_gamma,lmer,869,6,FALSE,0.05056523288748593,0.016544857203999393,0.06866115740548093,0.059181776819190575,0.009133353324490943,0.04211490699626379,545.3042534063824,0.055301115666656485,0.7649987819750734,TRUE,0.03238062829206227,0.2176974465450917,0.9743723678974494,0.19339514204268107,higher_focus,FALSE,TRUE,TRUE,FALSE
p4_bandDb,segment_gamma,lmer,812,6,FALSE,-0.28682301600227383,0.038883286929890536,0.12909251260723656,-0.3783477986543487,0.011550919884847891,0.04905228264714463,801.9024466340755,0.20074410521733593,0.8141197551203583,FALSE,0.5099259974105358,0.5086104925692422,0.9743723678974494,-0.11263737000358134,higher_audiobook,FALSE,TRUE,TRUE,FALSE
p4_rfreqGated,segment_gamma,lmer,807,6,FALSE,1.1887786164709322,0.002551934860106086,0.024817068992525445,1.0665544853740903,0.011819827143890271,0.04905228264714463,799.5229047924745,0.2054475476549343,0.8141197551203583,FALSE,0.9500236992602327,0.41517322676583324,0.9743723678974494,0.1924030129474918,higher_focus,FALSE,TRUE,TRUE,FALSE
