period,n,mean_audiobook,mean_focus,diff,dz,t_p,wilcox_p
inhale_rise,6,0.277491872777569,0.351956512168618,-0.0744646393910491,-0.132437873451274,0.758763401151099,1
inhale_fall,6,0.59085244951053,0.213119601813823,0.377732847696707,0.396632356754789,0.37589700358905,0.3125
exhale_rise,6,0.248981251399876,0.194311319165008,0.0546699322348681,0.0911511597552066,0.832157617147097,0.5625
exhale_fall,6,0.30609957786742,0.334943808227023,-0.0288442303596034,-0.0410820976511773,0.923754579660818,1
pause,6,0.392103456690717,0.313816116248918,0.0782873404417987,0.121434236367111,0.778083591366174,0.5625
