roi,band,t0,t1,f0,f1,n,mean_audiobook,mean_focus,mean_diff,dz,t_p,wilcox_p,t_p_fdr
periOnset_gamma,mid,0,300,25,58,6,-0.0371474871756358,0.304316545219512,-0.341464032395147,-0.351904568225526,0.428090821568599,0.5625,0.684945314509759
early_gamma,mid,0,500,30,58,6,0.0923642990377481,0.427778300608235,-0.335414001570487,-0.572793242892596,0.219546618336684,0.4375,0.466120923628336
mid_gamma,mid,500,1500,30,58,6,1.38066741678491,1.30795257206793,0.0727148447169842,0.0497140944512041,0.907820647527115,0.84375,0.934719532870324
late_gamma,mid,1500,3000,30,58,6,1.02529186554408,0.927864575252652,0.0974272902914291,0.129258706880302,0.764325702633377,0.6875,0.934719532870324
low_early,low,0,1000,2,25,6,1.14060307494663,0.499984888045056,0.640618186901574,0.553669510519092,0.233060461814168,0.3125,0.466120923628336
low_late,low,1000,3000,2,25,6,0.706508712775416,-0.244060525108699,0.950569237884115,0.889923427219954,0.08112749352299,0.0625,0.410806999638989
high_early,high,0,500,60,150,6,-0.00309990084959837,0.376461638475109,-0.379561539324707,-0.814115370282123,0.102701749909747,0.21875,0.410806999638989
high_mid,high,500,1500,60,150,6,0.497773348434046,0.526599137808162,-0.028825789374116,-0.0351550069003385,0.934719532870324,1,0.934719532870324
