sessID,participant,block,category,band,phase,phaseIdx,medZ,nEvents,nBreaths
260326_OBE_NWU_AD_1,AD,focusedBreathing,nonolf,high,exhaleFall,3,-0.365843596690081,102,102
260326_OBE_NWU_AD_1,AD,focusedBreathing,nonolf,high,troughToPause,4,-0.33584579702045,102,102
260326_OBE_NWU_AD_1,AD,focusedBreathing,nonolf,high,pause,5,-0.344713606437537,58,102
260326_OBE_NWU_AD_1,AD,focusedBreathing,nonolf,low,inhaleRise,1,-0.305932740918743,102,102
260326_OBE_NWU_AD_1,AD,focusedBreathing,nonolf,low,peakToExh,2,-0.312379087984564,102,102
260326_OBE_NWU_AD_1,AD,focusedBreathing,nonolf,low,exhaleFall,3,-0.277290319226702,102,102
260326_OBE_NWU_AD_1,AD,focusedBreathing,nonolf,low,troughToPause,4,-0.332673978984551,102,102
260326_OBE_NWU_AD_1,AD,focusedBreathing,nonolf,low,pause,5,-0.303246651165918,58,102
260326_OBE_NWU_AD_2,AD,audiobook,nonolf,high,inhaleRise,1,-0.137712307347121,58,58
260326_OBE_NWU_AD_2,AD,audiobook,nonolf,high,peakToExh,2,-0.156179812243792,58,58
260326_OBE_NWU_AD_2,AD,audiobook,nonolf,high,exhaleFall,3,-0.271332630431025,58,58
260326_OBE_NWU_AD_2,AD,audiobook,nonolf,high,troughToPause,4,-0.251951048038334,58,58
260326_OBE_NWU_AD_2,AD,audiobook,nonolf,high,pause,5,-0.328541828393301,34,58
260326_OBE_NWU_AD_2,AD,audiobook,nonolf,low,inhaleRise,1,-0.281093045231435,58,58
260326_OBE_NWU_AD_2,AD,audiobook,nonolf,low,peakToExh,2,-0.306065206656271,58,58
260326_OBE_NWU_AD_2,AD,audiobook,nonolf,low,exhaleFall,3,-0.244027379707275,58,58
260326_OBE_NWU_AD_2,AD,audiobook,nonolf,low,troughToPause,4,-0.249976571201421,58,58
260326_OBE_NWU_AD_2,AD,audiobook,nonolf,low,pause,5,-0.279945764483937,34,58
260326_OBE_NWU_AD_2,AD,focusedBreathing,nonolf,high,inhaleRise,1,-0.237795003309135,61,61
260326_OBE_NWU_AD_2,AD,focusedBreathing,nonolf,high,peakToExh,2,-0.189912073188477,61,61
260326_OBE_NWU_AD_2,AD,focusedBreathing,nonolf,high,exhaleFall,3,-0.35237779746025,61,61
260326_OBE_NWU_AD_2,AD,focusedBreathing,nonolf,high,troughToPause,4,-0.284708316491568,61,61
260326_OBE_NWU_AD_2,AD,focusedBreathing,nonolf,high,pause,5,-0.36045599240413,21,61
260326_OBE_NWU_AD_2,AD,focusedBreathing,nonolf,low,inhaleRise,1,-0.401105031109537,61,61
260326_OBE_NWU_AD_2,AD,focusedBreathing,nonolf,low,peakToExh,2,-0.378793761471517,61,61
260326_OBE_NWU_AD_2,AD,focusedBreathing,nonolf,low,exhaleFall,3,-0.395694476925196,61,61
260326_OBE_NWU_AD_2,AD,focusedBreathing,nonolf,low,troughToPause,4,-0.349998716278619,61,61
260326_OBE_NWU_AD_2,AD,focusedBreathing,nonolf,low,pause,5,-0.337106386253675,21,61
260514_OBE_NWU_BW_1,BW,audiobook,nonolf,high,inhaleRise,1,-0.0576944969438096,68,68
260514_OBE_NWU_BW_1,BW,audiobook,nonolf,high,peakToExh,2,0.299825610232049,68,68
260514_OBE_NWU_BW_1,BW,audiobook,nonolf,high,exhaleFall,3,0.245270996421954,68,68
260514_OBE_NWU_BW_1,BW,audiobook,nonolf,high,troughToPause,4,-0.108818351129209,68,68
260514_OBE_NWU_BW_1,BW,audiobook,nonolf,high,pause,5,-0.296542414002413,49,68
260514_OBE_NWU_BW_1,BW,audiobook,nonolf,low,inhaleRise,1,-0.35378745064411,68,68
260514_OBE_NWU_BW_1,BW,audiobook,nonolf,low,peakToExh,2,-0.298192053455825,68,68
260514_OBE_NWU_BW_1,BW,audiobook,nonolf,low,exhaleFall,3,-0.432159628431495,68,68
260514_OBE_NWU_BW_1,BW,audiobook,nonolf,low,troughToPause,4,-0.325764242956164,68,68
260514_OBE_NWU_BW_1,BW,audiobook,nonolf,low,pause,5,-0.324830710323927,49,68
260514_OBE_NWU_BW_1,BW,focusedBreathing,nonolf,high,inhaleRise,1,-0.12100660917389,39,39
260514_OBE_NWU_BW_1,BW,focusedBreathing,nonolf,high,peakToExh,2,0.0157384402962631,39,39
260514_OBE_NWU_BW_1,BW,focusedBreathing,nonolf,high,exhaleFall,3,0.099712409043349,39,39
260514_OBE_NWU_BW_1,BW,focusedBreathing,nonolf,high,troughToPause,4,-0.162186174441235,39,39
260514_OBE_NWU_BW_1,BW,focusedBreathing,nonolf,high,pause,5,-0.300320719715245,31,39
260514_OBE_NWU_BW_1,BW,focusedBreathing,nonolf,low,inhaleRise,1,-0.28573807003614,39,39
260514_OBE_NWU_BW_1,BW,focusedBreathing,nonolf,low,peakToExh,2,-0.209344659589608,39,39
260514_OBE_NWU_BW_1,BW,focusedBreathing,nonolf,low,exhaleFall,3,-0.313926943136997,39,39
260514_OBE_NWU_BW_1,BW,focusedBreathing,nonolf,low,troughToPause,4,-0.298829729049254,39,39
260514_OBE_NWU_BW_1,BW,focusedBreathing,nonolf,low,pause,5,-0.266971529313248,31,39
260608_OBE_NWU_RX_1,RX,audiobook,nonolf,high,inhaleRise,1,-0.418473497097997,74,74
260608_OBE_NWU_RX_1,RX,audiobook,nonolf,high,peakToExh,2,-0.449275534184144,74,74
260608_OBE_NWU_RX_1,RX,audiobook,nonolf,high,exhaleFall,3,-0.326767201515798,74,74
