metric,family
inhalePeakMs,airflow_morphology
returnCrossMs,airflow_morphology
exhaleStartMs,airflow_morphology
exhaleTroughMs,airflow_morphology
endSymMs,airflow_morphology
breathLenMs,airflow_morphology
inhaleVolume,airflow_morphology
inhaleDuration,airflow_morphology
peakInspFlow,airflow_morphology
breathLength,airflow_morphology
w1_rfreqPW,window_gamma
w1_rfreqGated,window_gamma
w1_rfreqRaw,window_gamma
w1_rpowZ,window_gamma
w1_rpowDb,window_gamma
w1_bandDb,window_gamma
w1_aucZ,window_gamma
w2_rfreqPW,window_gamma
w2_rfreqGated,window_gamma
w2_rfreqRaw,window_gamma
w2_rpowZ,window_gamma
w2_rpowDb,window_gamma
w2_bandDb,window_gamma
w2_aucZ,window_gamma
w3_rfreqPW,window_gamma
w3_rfreqGated,window_gamma
w3_rfreqRaw,window_gamma
w3_rpowZ,window_gamma
w3_rpowDb,window_gamma
w3_bandDb,window_gamma
w3_aucZ,window_gamma
w4_rfreqPW,window_gamma
w4_rfreqGated,window_gamma
w4_rfreqRaw,window_gamma
w4_rpowZ,window_gamma
w4_rpowDb,window_gamma
w4_bandDb,window_gamma
w4_aucZ,window_gamma
w5_rfreqPW,window_gamma
w5_rfreqGated,window_gamma
w5_rfreqRaw,window_gamma
w5_rpowZ,window_gamma
w5_rpowDb,window_gamma
w5_bandDb,window_gamma
w5_aucZ,window_gamma
p1_rfreqPW,segment_gamma
p1_rfreqGated,segment_gamma
p1_rfreqRaw,segment_gamma
p1_rpowZ,segment_gamma
p1_rpowDb,segment_gamma
p1_bandDb,segment_gamma
p1_aucZ,segment_gamma
p2_rfreqPW,segment_gamma
p2_rfreqGated,segment_gamma
p2_rfreqRaw,segment_gamma
p2_rpowZ,segment_gamma
p2_rpowDb,segment_gamma
p2_bandDb,segment_gamma
p2_aucZ,segment_gamma
p3_rfreqPW,segment_gamma
p3_rfreqGated,segment_gamma
p3_rfreqRaw,segment_gamma
p3_rpowZ,segment_gamma
p3_rpowDb,segment_gamma
p3_bandDb,segment_gamma
p3_aucZ,segment_gamma
p4_rfreqPW,segment_gamma
p4_rfreqGated,segment_gamma
p4_rfreqRaw,segment_gamma
p4_rpowZ,segment_gamma
p4_rpowDb,segment_gamma
p4_bandDb,segment_gamma
p4_aucZ,segment_gamma
peakZ,gamma_power
peakLatMs,gamma_power
peakFreq,gamma_power
anyBurst,burst
burstLatMs,burst
timeAboveMs,burst
nBursts,burst
dutyCycle,burst
maxBurstMs,burst
peakZ_base,gamma_power
anyBurst_base,burst
timeAboveMs_base,burst
chirpSlope,chirp
chirpSlope2,chirp
freqSpan,ridge_frequency
freqJitter,ridge_frequency
apExp,aperiodic
apOffset,aperiodic
gammaBumpDb,gamma_power
gammaPeakPresent,gamma_power
