band,cluster,mass,p_perm,sig,nPix
low,pos1,487.904691810691,0.9375,0,150
low,pos2,51.7892855941061,1,0,18
low,pos3,153.267092364059,1,0,46
low,pos4,18.3617142783799,1,0,7
low,pos5,584.660784584011,0.90625,0,199
low,pos6,30.9567391800157,1,0,12
low,pos7,28.5409827078407,1,0,11
low,pos8,20.9914665391316,1,0,8
low,pos9,238.663987762066,1,0,74
low,pos10,71.3799556318526,1,0,27
low,pos11,21.300610874778,1,0,8
low,pos12,297.934589982306,1,0,77
low,pos13,2.5767216333422,1,0,1
low,pos14,180.736826856037,1,0,59
low,pos15,501.36665108338,0.9375,0,145
low,pos16,752.035201444792,0.84375,0,235
low,pos17,405.023164470372,1,0,134
low,pos18,2.57715981791949,1,0,1
low,pos19,614.702517635943,0.90625,0,212
low,pos20,99.2979887119004,1,0,37
low,pos21,75.0006163734274,1,0,25
low,pos22,509.504354340464,0.9375,0,153
low,pos23,335.61384370414,1,0,99
low,pos24,82.1733622929505,1,0,30
low,pos25,176.265074735425,1,0,59
low,pos26,352.22839069113,1,0,121
low,pos27,74.6999916340963,1,0,27
low,neg1,-161.069314430908,1,0,41
low,neg2,-224.651396650664,1,0,79
low,neg3,-219.0207229674,1,0,73
low,neg4,-7.84549978648557,1,0,3
low,neg5,-37.1196319139993,1,0,14
low,neg6,-37.6761335938013,1,0,14
low,neg7,-13.14956543175,1,0,5
low,neg8,-5.28616518710726,1,0,2
low,neg9,-91.3357870453434,1,0,28
low,neg10,-69.4891342698581,1,0,22
low,neg11,-137.518834743379,1,0,43
low,neg12,-164.935881921979,1,0,45
low,neg13,-48.9397521183818,1,0,16
low,neg14,-13.2055447777983,1,0,5
mid,pos1,5.19282066151607,1,0,2
mid,pos2,68.805220581965,1,0,21
mid,pos3,508.634771945953,1,0,158
mid,pos4,889.095866052347,0.9375,0,241
mid,pos5,641.93743504874,1,0,172
mid,pos6,800.815866724706,0.96875,0,246
mid,pos7,183.525531929036,1,0,44
mid,pos8,53.1279251102681,1,0,18
mid,pos9,13.4916918685253,1,0,5
mid,pos10,206.860281183411,1,0,61
mid,pos11,178.212144431913,1,0,64
mid,pos12,401.93118418989,1,0,148
mid,pos13,802.683461873257,0.96875,0,236
mid,pos14,107.410327804081,1,0,37
mid,pos15,8.09135700332619,1,0,3
mid,pos16,1062.31329714688,0.875,0,260
mid,pos17,15.9950998794249,1,0,6
mid,pos18,235.582228953559,1,0,75
mid,pos19,2.60807211703974,1,0,1
mid,pos20,696.895046136975,1,0,190
mid,pos21,39.3054909986993,1,0,12
mid,pos22,14.6473698511555,1,0,5
mid,neg1,-50.8330713792362,1,0,18
mid,neg2,-2.58819083259195,1,0,1
mid,neg3,-452.826130107113,1,0,102
mid,neg4,-2.58876647638707,1,0,1
mid,neg5,-5.19046341966918,1,0,2
mid,neg6,-2.57502790558198,1,0,1
mid,neg7,-7.81388137117113,1,0,3
mid,neg8,-26.9333081538491,1,0,10
mid,neg9,-189.958914438319,1,0,51
mid,neg10,-313.957144268536,1,0,83
mid,neg11,-62.1702684468067,1,0,23
mid,neg12,-60.2441711470324,1,0,20
mid,neg13,-326.79073093498,1,0,109
mid,neg14,-82.2433211506376,1,0,30
mid,neg15,-2.60403287083392,1,0,1
mid,neg16,-417.688131970158,1,0,113
mid,neg17,-191.276182310843,1,0,56
mid,neg18,-97.8907524308516,1,0,36
mid,neg19,-153.149811172383,1,0,47
mid,neg20,-873.276996531059,0.9375,0,252
mid,neg21,-50.6951967653664,1,0,19
mid,neg22,-64.6201218307467,1,0,23
mid,neg23,-701.504864944813,1,0,193
mid,neg24,-126.091647719881,1,0,43
mid,neg25,-198.94881738836,1,0,71
high,pos1,14.8738008609563,1,0,5
high,pos2,78.5522694892436,1,0,24
high,pos3,3.34971338815641,1,0,1
high,pos4,2.93247653104924,1,0,1
high,pos5,5.3527985313875,1,0,2
high,pos6,2.81744565067506,1,0,1
high,pos7,250.136215615356,1,0,76
high,pos8,6.54825029049586,1,0,2
high,pos9,32.4083758558643,1,0,11
high,pos10,2.85338386007391,1,0,1
high,pos11,3.03016613373771,1,0,1
high,pos12,56.7906303451313,1,0,16
high,pos13,20.0248744081235,1,0,6
high,pos14,2.5757377472584,1,0,1
high,pos15,67.767908436098,1,0,18
high,pos16,3.79919414597383,1,0,1
high,pos17,15.4282400745729,1,0,5
high,pos18,27.3808361204442,1,0,7
high,pos19,2.71115300611082,1,0,1
high,pos20,2.67786045548414,1,0,1
high,pos21,3.10648842266918,1,0,1
high,pos22,64.7989493815229,1,0,17
high,pos23,192.693512515631,1,0,60
high,pos24,8.95563308606005,1,0,3
high,pos25,3.10787775020255,1,0,1
high,pos26,25.8593310998528,1,0,8
high,pos27,10.3403147226843,1,0,3
high,pos28,8.40262481362796,1,0,3
high,pos29,61.102773314982,1,0,19
high,pos30,3.07662171710283,1,0,1
high,pos31,6.3350386318901,1,0,2
high,pos32,8.06962384907142,1,0,3
high,pos33,2.65386595448202,1,0,1
high,pos34,34.2674171846737,1,0,9
high,pos35,84.7589908132594,1,0,21
high,pos36,3.09332106374748,1,0,1
high,pos37,68.6869145729888,1,0,18
high,pos38,42.9623512730198,1,0,15
high,pos39,5.5644169307287,1,0,2
high,pos40,2.58506678303506,1,0,1
high,pos41,2.75852855940655,1,0,1
high,pos42,24.5658964589311,1,0,8
high,pos43,65.4154315317902,1,0,21
high,pos44,12.6311517073863,1,0,4
high,pos45,5.61258589351834,1,0,2
high,pos46,17.5951849908551,1,0,6
high,pos47,18.6800038724696,1,0,6
high,pos48,42.8325008158046,1,0,13
high,pos49,5.87342591650279,1,0,2
high,pos50,2.99338656510214,1,0,1
high,pos51,9.51518423258159,1,0,3
high,pos52,2.94411958175011,1,0,1
high,pos53,43.0869763355797,1,0,12
high,pos54,50.1598813640536,1,0,17
high,pos55,5.34193347031489,1,0,1
high,pos56,37.1538310545311,1,0,12
high,pos57,6.43932503937592,1,0,2
high,pos58,2.59249679174826,1,0,1
high,pos59,2.64133184088682,1,0,1
high,pos60,9.04554856384245,1,0,3
high,pos61,31.5638355940509,1,0,7
high,pos62,2.57243308982039,1,0,1
high,pos63,7.94910007033257,1,0,3
high,pos64,2.58112003052202,1,0,1
high,pos65,9.05478108812795,1,0,3
high,pos66,5.86884666682447,1,0,2
high,pos67,11.4980359888806,1,0,4
high,pos68,14.3263041818588,1,0,4
high,pos69,45.8363465724192,1,0,16
high,pos70,5.31721409427344,1,0,2
high,pos71,6.30519702665516,1,0,2
high,pos72,302.404343821717,0.875,0,96
high,pos73,117.257482360816,1,0,23
high,pos74,27.5538939411687,1,0,6
high,pos75,2.6878533660815,1,0,1
high,pos76,2.64616674101781,1,0,1
high,pos77,19.3685388646909,1,0,7
high,pos78,2.7512443252515,1,0,1
high,pos79,18.6572741054127,1,0,7
high,pos80,2.60595457000258,1,0,1
high,pos81,27.16360087702,1,0,10
high,pos82,5.2725623895431,1,0,2
high,pos83,2.66447534956436,1,0,1
high,pos84,25.5850148655463,1,0,6
high,pos85,2.63556977089144,1,0,1
high,pos86,5.49231677726172,1,0,2
high,pos87,2.86479359552123,1,0,1
high,pos88,5.67874886835603,1,0,2
high,pos89,6.46362621546912,1,0,2
high,pos90,2.64655743938947,1,0,1
high,pos91,69.8066180095498,1,0,18
high,pos92,5.55745412991876,1,0,2
high,pos93,5.67630377578828,1,0,2
high,pos94,2.70627946045018,1,0,1
high,pos95,41.6415795468701,1,0,14
high,pos96,5.26645567194011,1,0,2
high,pos97,2.96801196338361,1,0,1
high,pos98,5.59634030851026,1,0,2
high,pos99,22.9992792125217,1,0,8
high,pos100,45.0181228754658,1,0,12
high,pos101,19.3686588364813,1,0,7
high,pos102,5.37227116259838,1,0,2
high,pos103,27.5538118072831,1,0,8
high,pos104,5.52516444498943,1,0,2
high,pos105,14.6806287734664,1,0,4
high,pos106,73.7996585808213,1,0,19
high,pos107,99.0108162571939,1,0,29
high,pos108,38.5090485679292,1,0,11
high,pos109,81.2022385176557,1,0,24
high,pos110,15.4376835796265,1,0,5
high,neg1,-2.65635494400134,1,0,1
high,neg2,-11.9001737822652,1,0,4
high,neg3,-12.0614934443839,1,0,4
high,neg4,-2.99438904274605,1,0,1
high,neg5,-36.089477544246,1,0,12
high,neg6,-5.61908872282078,1,0,2
high,neg7,-207.850608092644,1,0,55
high,neg8,-89.9352422657121,1,0,26
high,neg9,-2.64857971170089,1,0,1
high,neg10,-3.04672884630459,1,0,1
high,neg11,-5.53256907564607,1,0,2
high,neg12,-300.082240625514,0.875,0,74
high,neg13,-2.80665080458405,1,0,1
high,neg14,-14.4968188017505,1,0,5
high,neg15,-76.7159374577865,1,0,21
high,neg16,-7.1098652754649,1,0,2
high,neg17,-32.4730015246071,1,0,9
high,neg18,-5.40463091887157,1,0,2
high,neg19,-2.73338126199422,1,0,1
high,neg20,-54.3779297089024,1,0,17
high,neg21,-2.70759339899891,1,0,1
high,neg22,-12.9221802990016,1,0,4
high,neg23,-8.82455282680578,1,0,3
high,neg24,-7.76377743719647,1,0,2
high,neg25,-7.891710330471,1,0,3
high,neg26,-48.980245932478,1,0,15
high,neg27,-17.4636480657582,1,0,6
high,neg28,-177.122987209147,1,0,41
high,neg29,-26.1876653396751,1,0,8
high,neg30,-2.78532260492121,1,0,1
high,neg31,-13.4576757345661,1,0,5
