subject,condition,inhale_rise,inhale_fall,exhale_rise,exhale_fall,pause
AS,audiobook,0.686557976169523,1.16606165436303,0.463122163903397,0.418250098081031,0.687471332415046
AS,focus,0.623921012835392,0.118442563906809,0.160664270086761,0.833300893604029,0.0715571497194745
TI,audiobook,-0.111613349549647,0.106875490464949,-0.0713132893948663,-0.203446605455076,0.163584035823682
TI,focus,0.809761009627426,1.15935756032894,0.999400249756813,0.772916577414666,1.28815783287992
CP,audiobook,0.678291832587806,-0.192036378240676,-0.0487649903510627,0.204817263957454,0.229350904203875
CP,focus,0.0440707746055594,-0.332661085136292,-0.286909897506565,0.086470064024055,-0.0562043765330034
AD,audiobook,0.336815563487844,2.08310521223757,0.689951651692513,0.658003341997878,0.465043569725675
AD,focus,0.208316381283768,0.335494324475877,0.0895095524729347,0.111176147796966,0.32605962297026
BW,audiobook,-0.167423165772997,0.446611182065497,0.0823417543110481,0.149991888296295,0.536960110904516
BW,focus,0.38268475964325,0.393750527840742,0.2066899806363,0.536057994057781,0.589163683788273
RX,audiobook,0.242322379742883,-0.0655024638271905,0.378550218238227,0.608981480326936,0.270210787071506
RX,focus,0.0429851350163105,-0.395666280533136,-0.00348624045619553,-0.330258827535358,-0.335837215331423
