task,apExp_sep_cd,apOffset_sep_cd
O15,0.6263229595909594,0.15495575669814315
audiobook,0.2834259005477226,-0.2068003243463897
cueTask,0.6217914215953282,0.002286698903675577
focusedBreathing,0.387343882044096,-0.10127883431650918
threshTask,0.791158698189219,0.576550670935542
