metric,n,mean_baseline,mean_ATB,diff,dz,t_p,wilcox_p
medRatio,8,1.01664773143934,1.02121344171157,-0.0045657102722286,-0.14314491631883,0.697656216531913,0.3125
meanLog2,8,0.0326506378922107,0.0385037552456181,-0.00585311735340736,-0.131555124326972,0.720831709525542,0.9453125
