task,metric,n_ctrl,n_dupi,control_mean,control_SD,control_CV,sep_control_dupi,sep_resp_nonresp,recovery_rho_dupi,recovery_rho_resp,max_separation,control_CV_rank,goodness
threshTask,p2_rfreqGated__var,5,29,33.166931214885686,11.27336813951665,0.3398978357731553,0.7487915549737497,0.6231974379658651,-0.17461087366504766,-0.21447363654827648,0.7487915549737497,516,0.5588422751214296
threshTask,w3_rfreqRaw__var,5,29,41.1117708751891,10.20791315905103,0.24829660560701353,0.43347186140050126,0.6948893486630108,-0.33387715540195473,-0.35403253807687324,0.6948893486630108,408,0.5566700618601014
threshTask,p3_rfreqGated__var,5,29,59.7439797742133,11.880472348489675,0.19885639345068656,-0.6665142546144754,0.5467487853238787,0.0783103312194759,0.10935134708517757,0.6665142546144754,359,0.5559583768795171
focusedBreathing,p4_rpowZ__var,3,27,0.12748219303172653,0.014084781512409683,0.1104843042543212,0.6172672720683421,-0.10910693883372526,-0.05623120610568299,-0.13306153295195947,0.6172672720683421,262,0.5558541167160672
cueTask,p1_rpowZ__var,11,30,0.6263671751207173,0.1947986127917394,0.310997479143442,-0.010907978844879582,-0.7272651773865625,-0.01578759436357346,0.02752002341984301,0.7272651773865625,482,0.5547418579795677
cueTask,w2_bandDb__var,11,30,3.288517527189928,3.9143749116090216,1.1903159639728542,0.08164112947348215,-1.214568182396724,0.005740943404935804,0.06985852098883225,1.214568182396724,792,0.5545173401346659
audiobook,exhaleTroughMs__mean,7,28,2172.6957119450685,325.58904174060683,0.14985487380972412,0.32625769884196926,-0.6370656070847421,0.032274769528839224,0.027790950087945684,0.6370656070847421,314,0.5540400111311461
audiobook,endSymMs__mean,7,28,4345.391423890137,651.1780834812137,0.1498548738097586,0.32625769884196926,-0.6370656070847421,0.032274769528839224,0.027790950087945684,0.6370656070847421,315,0.5540400111311294
O15,breathLength__mean,11,28,1.9304710760646808,0.5063159330419427,0.26227584502939355,0.3600920510113529,-0.6976635072875769,-0.24077243292749922,-0.22604766329432308,0.6976635072875769,423,0.5527028898119578
O15,exhaleTroughMs__mean,11,28,1930.4710760646808,506.3159330419425,0.26227584516511865,0.3600920510113531,-0.6976635072875765,-0.24077243292749922,-0.22604766329432308,0.6976635072875765,424.5,0.5527028897525287
O15,breathLenMs__mean,11,28,1930.4710760646808,506.3159330419425,0.26227584516511865,0.3600920510113531,-0.6976635072875765,-0.24077243292749922,-0.22604766329432308,0.6976635072875765,424.5,0.5527028897525287
O15,endSymMs__mean,11,28,3860.9421521293616,1012.631866083885,0.2622758451651866,0.3600920510113531,-0.6976635072875765,-0.24077243292749922,-0.22604766329432308,0.6976635072875765,426,0.5527028897524989
O15,p1_rfreqGated__var,11,28,36.73866244227577,18.77000559563547,0.5109060686304578,0.790441638320917,0.8326531988317265,-0.16150091938380168,-0.21812685568562712,0.8326531988317265,644,0.5510952772772133
audiobook,w4_rpowDb__var,7,28,9.16653954341082,5.524603203301504,0.6026923438812916,0.4248278468299656,-0.8826544662005189,0.05780117815619388,0.05316529582041783,0.8826544662005189,685,0.5507323158872565
audiobook,p2_rpowDb__mean,7,28,3.4576764756995604,3.6406136139998875,1.0529075344477992,-1.1244887373204366,-0.7037339196192925,0.05281325922900963,0.19453665061561978,1.1244887373204366,777,0.5477542063885049
threshTask,w1_rfreqRaw__mean,5,29,45.03270424242424,3.0950458216237138,0.06872884659321028,-0.5853013325904071,0.4412968485907898,0.05979099613378904,0.0386656696875766,0.5853013325904071,183,0.5476612093480714
audiobook,w1_rfreqRaw__mean,7,28,42.46447902495663,2.2461307667452006,0.052894344126351855,0.5761351640271796,-0.3692422453117253,-0.2080255599631546,-0.08639360570817897,0.5761351640271796,125,0.5471918120191183
focusedBreathing,p1_rfreqGated__mean,3,27,42.732255655374196,2.5637776410968,0.05999630961943784,0.5788962072149316,0.27645212350360465,0.10102001562009329,0.1309824464995851,0.5788962072149316,148,0.5461303987206976
cueTask,w1_rfreqRaw__var,11,30,50.304889137707505,16.57793083830756,0.32954909795341414,-0.01512409763223719,-0.7251364688739611,-0.11912457565241792,-0.21169248784494624,0.7251364688739611,503,0.5454002939719711
cueTask,w3_bandDb__var,11,30,6.417465399101557,9.24513525391462,1.44062097378325,-0.590541292894564,-1.329840651365231,-0.07463226426416544,0.001058462439224731,1.329840651365231,816,0.5448779903353126
audiobook,peakLatMs__mean,7,28,959.3275586601417,66.33078991118867,0.06914300471442868,0.5825114172834126,-0.5743250970574858,-0.08186055180496493,-0.018728683754919918,0.5825114172834126,188,0.5448395721758506
threshTask,w3_rfreqGated__var,5,29,47.7768479143141,15.77905211842623,0.3302656580943782,0.39801723777264897,0.7225962809596556,-0.25133383330575043,-0.2881800693902194,0.7225962809596556,504,0.543196974651502
cueTask,maxBurstMs__var,11,30,6643.174704311756,4896.903802346674,0.7371330757217025,-0.9430722030398044,-0.26497196484175783,-0.13347693416475745,0.057156971718135476,0.9430722030398044,726,0.5428900158659401
O15,w1_rfreqRaw__mean,11,28,44.32356576829628,1.708174226928939,0.03853873661293338,-0.11482308690166464,-0.5635700725856133,-0.14286619791643995,-0.22300119882944,0.5635700725856133,68,0.5426567663943167
audiobook,burstLatMs__var,7,28,97780.95882933047,30158.701216808848,0.30843122810289014,0.7099940470703107,0.08460455250339599,-0.40959616602054133,-0.30992950858948115,0.7099940470703107,480,0.5426300074630132
focusedBreathing,w1_rfreqRaw__var,3,27,61.775768024345034,15.524555006585276,0.25130492914658614,-0.678769043783393,0.4922390949943043,0.19027070903202034,0.13444759058687572,0.678769043783393,409,0.5424489490713718
focusedBreathing,w2_rfreqRaw__mean,3,27,42.587535786798945,2.762602406118977,0.06486880151704962,0.5775914843538931,-0.020011423282701273,-0.09938538753562574,-0.06999591056327036,0.5775914843538931,166,0.5424062415304457
audiobook,w2_bandDb__var,7,28,1.7991731928838244,0.3712025545858882,0.20631841106112953,0.6542726654098815,0.12982212579244684,-0.29927513563105457,-0.20964042783732942,0.6542726654098815,369,0.5423714497023676
cueTask,p1_rpowDb__mean,11,30,4.56271978000588,6.862834507882528,1.5041104510629346,-1.353086176251327,-1.3077257106696636,-0.05310372649565618,0.03175387317674193,1.353086176251327,819,0.5403460441119818
