task,peakZ_vs_base,timeAbove_vs_base,anyBurst_agree
O15,0.1479099237678477,0.4233895544705883,0.9862834748530372
audiobook,0.1121220350921402,0.33184635134570384,0.9968482665466006
cueTask,0.13713914678169983,0.34756207239157955,0.9910873440285205
focusedBreathing,0.14545956421676934,0.3717428503223267,0.9950341402855369
threshTask,0.3011626754756677,0.374119506492066,0.9966420416386836
