sessID,participant,task,category,gammaType,medZ,medZ_ninv,nBreaths
260720_OBE_NWU_KA_2,KA,threshTask,olf,earlyHigh,1.55592352643286,0.231943384859671,45
260720_OBE_NWU_KA_2,KA,threshTask,olf,lateLow,0.751081069988398,0.111964555273822,45
250225_OBE_NWU_AS_4,AS,O15,olf,earlyHigh,1.65959094798663,0.165959094798663,100
250225_OBE_NWU_AS_4,AS,O15,olf,lateLow,4.86655935859467,0.486655935859467,100
250908_OBE_NWU_AS,AS,O15,olf,earlyHigh,5.27070574101545,0.596789906428586,78
250908_OBE_NWU_AS,AS,O15,olf,lateLow,5.39955586896221,0.611379310500658,78
250904_OBE_NWU_TI_1,TI,O15,olf,earlyHigh,0.117127524275973,0.0113231451589165,107
250904_OBE_NWU_TI_1,TI,O15,olf,lateLow,6.02709065893044,0.582660846277433,107
251006_OBE_NWU_RY_1,RY,O15,olf,earlyHigh,2.09070704782727,0.263404329182904,63
251006_OBE_NWU_RY_1,RY,O15,olf,lateLow,1.446834103172,0.182283963112394,63
251208_OBE_NWU_SP_1,SP,O15,olf,earlyHigh,4.8194123798302,0.491879216276515,96
251208_OBE_NWU_SP_1,SP,O15,olf,lateLow,6.1283086056733,0.625467877925276,96
260105_OBE_NWU_ZF_1,ZF,O15,olf,earlyHigh,1.40110382957817,0.179392962801221,61
260105_OBE_NWU_ZF_1,ZF,O15,olf,lateLow,3.6590179080332,0.468489236563163,61
260326_OBE_NWU_AD_2,AD,O15,olf,earlyHigh,2.63651267672737,0.308580468281313,73
260326_OBE_NWU_AD_2,AD,O15,olf,lateLow,2.4259609131347,0.283937248326258,73
260514_OBE_NWU_BW_1,BW,O15,olf,earlyHigh,3.84620496286008,0.48077562035751,64
260514_OBE_NWU_BW_1,BW,O15,olf,lateLow,6.2647638306007,0.783095478825088,64
260702_OBE_NWU_SP_2,SP,O15,olf,earlyHigh,2.73280073289032,0.274656807812286,99
260702_OBE_NWU_SP_2,SP,O15,olf,lateLow,6.64714143925386,0.668062850982668,99
260608_OBE_NWU_RX_1,RX,cueTask,olf,earlyHigh,-0.304249600617601,-0.0481060857574095,40
260608_OBE_NWU_RX_1,RX,cueTask,olf,lateLow,6.26537110544489,0.990642153970642,40
260608_OBE_NWU_RX_1,RX,O15,olf,earlyHigh,-0.0857290969920504,-0.00653678236359645,172
260608_OBE_NWU_RX_1,RX,O15,olf,lateLow,7.90420998333584,0.602690361033709,172
260625_OBE_NWU_HM_2,HM,audiobook,nonolf,earlyHigh,0.165819371326825,0.0221585455569724,56
260625_OBE_NWU_HM_2,HM,audiobook,nonolf,lateLow,0.874902294675389,0.116913736913487,56
260625_OBE_NWU_HM_2,HM,focusedBreathing,nonolf,earlyHigh,-0.819089486047683,-0.123482386133873,44
260625_OBE_NWU_HM_2,HM,focusedBreathing,nonolf,lateLow,-0.15354353961589,-0.0231475595404081,44
260702_OBE_NWU_SP_2,SP,audiobook,nonolf,earlyHigh,4.29262020122119,0.41891683675121,105
260702_OBE_NWU_SP_2,SP,audiobook,nonolf,lateLow,0.854642725497424,0.083404589815787,105
260702_OBE_NWU_SP_2,SP,focusedBreathing,nonolf,earlyHigh,5.53020632451026,0.626172561532416,78
260702_OBE_NWU_SP_2,SP,focusedBreathing,nonolf,lateLow,1.06803665116856,0.120931337174286,78
