taskRow,metric,control_CV,sep_control_dupi,sep_resp_nonresp
cueTask,coup_MI,1.0456194338649782,0.2738584849856432,-1.1644548441092255
cueTask,coup_resultantLen,0.24946991856505904,-0.3287240101291274,1.062126215604226
cueTask,coup_inhExhRatio,0.030225942362603682,0.43562292478802234,2.1400801971844094
O15,coup_MI,0.8211971994107049,0.17069112995137006,0.2695251281657117
O15,coup_resultantLen,0.245021137426605,-0.8012905509110348,-0.25901539588843414
O15,coup_inhExhRatio,0.03154771709105296,1.2941588698580042,-0.2052070422598214
audiobook,coup_MI,0.5896949429899159,0.28703528348660134,-1.1213190722007556
audiobook,coup_resultantLen,0.45022923010440996,0.11775944020957163,-0.44238229271537943
audiobook,coup_inhExhRatio,0.03645291701249858,-0.03770227959561916,0.8865111741345026
focusedBreathing,coup_MI,0.6508614233418676,0.4341932702551785,-1.0803477903886047
focusedBreathing,coup_resultantLen,0.18314212200275087,-0.6568915623622431,-0.5291795165748823
focusedBreathing,coup_inhExhRatio,0.035424015653867866,0.008315991463726958,0.8529725477808426
threshTask,coup_MI,1.8347886771153685,-0.25212322788901254,0.4064603805904056
threshTask,coup_resultantLen,0.4399679074121329,-0.34116373662796556,0.8060165604367533
threshTask,coup_inhExhRatio,0.014140232318388733,0.47299283587016455,0.1256666158931886
