sessID,cohort,taskColName,uniqueLabels,nAudioExact,nFocusExact,nAudioLike,nFocusLike,nTotal
250623_Dupi_NMH_KS_1,Dupi,condition,"1 | 2 | 3 | 4",0,0,0,0,263
250623_Dupi_NMH_KS_2,Dupi,condition,"1 | 2 | 3 | 4 | 5 | 6",0,0,0,0,347
250818_Dupi_NMH_JH_1,Dupi,condition,"1 | 2 | 3 | 4 | 5 | 6",0,0,0,0,403
250908_OBE_NWU_AS,OBE,condition,"1 | 2 | 3 | 4 | 5 | 6",0,0,0,0,480
250904_OBE_NWU_TI_1,OBE,condition,"1 | 2 | 3 | 4 | 5 | 6",0,0,0,0,480
