"contrast","band","window","estimate","SE","df","t.ratio","p.value","p_holm"
"olf - nonolf","high","0-500",0.440416238108798,0.123205261662023,309.327243906717,3.57465446010697,0.000406707999837303,0.00203353999918652
"olf - nonolf","high","500-1000",-0.133155398481959,0.123205261662023,309.327243906689,-1.08076064841477,0.280645485526966,1
"olf - nonolf","high","1000-1500",-0.0907612237566843,0.123205261662023,309.327243906689,-0.736666782995525,0.461883340499665,1
"olf - nonolf","high","1500-2000",0.053304358848609,0.123205261662023,309.327243906689,0.432646772788273,0.665572885909856,1
"olf - nonolf","low","0-500",-0.0381353185648917,0.123205261662023,309.327243906696,-0.309526704058343,0.757129303078898,1
"olf - nonolf","low","500-1000",0.537907378924345,0.123205261662023,309.327243906689,4.36594486037402,1.7282587814742e-05,0.000103695526888452
"olf - nonolf","low","1000-1500",0.596269558244565,0.123205261662023,309.327243906689,4.83964361749625,2.05650899738959e-06,1.43955629817271e-05
"olf - nonolf","low","1500-2000",0.785821043616003,0.123205261662023,309.327243906689,6.37814516210898,6.5234846670146e-10,5.21878773361168e-09
