band,metric,n,mean_audiobook,mean_focus,diff,dz,t_p,wilcox_p
theta,peakLatMs,5,634.4,423.2,211.2,0.4963888261039,0.329246091734093,0.625
theta,riseSlope,5,1.28326945755827,2.66058612496134,-1.37731666740307,-0.47418390054747,0.348783538133712,0.4375
theta,centroidMs,5,588.190360940633,483.52410997417,104.666250966463,0.715307081612976,0.184963442408201,0.1875
gamma,peakLatMs,5,694.8,498.8,196,0.902698783747677,0.113692428011865,0.125
gamma,riseSlope,5,3.64798637353668,9.11904826345339,-5.47106188991671,-0.44573020553375,0.37532738347475,0.625
gamma,centroidMs,5,664.632672442254,616.530602555113,48.1020698871414,0.465187175593676,0.356991128170976,0.3125
theta,xcorrLagMs,5,NaN,NaN,20,0.0521155054747355,0.912846034572405,1
gamma,xcorrLagMs,5,NaN,NaN,124,0.579148461189875,0.265005068985416,0.3125
