"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"gammaType",24.8723606373152,24.8723606373152,1,55.9773828067682,4.08622871336511,0.0480251491613364
"taskCategory",178.096388626582,178.096388626582,1,79.9484737367398,29.2590875295031,6.41950897072181e-07
"gammaType:taskCategory",124.331994914962,124.331994914962,1,55.9773828066723,20.4262464275013,3.2550264597193e-05
