task,metric,ctrl_mean,ctrl_sd,dupi_sd,d_sep,p_sep,rho,p_rho,S1,S2,S3,d_S1_ctrl,d_S3_ctrl,recover_gain,p_sep_fdr,p_rho_fdr
audiobook,inhalePeakMs__mean,812.5519957643522,88.58986564865127,148.60857262715427,-0.33800404829149283,0.4110835236848801,0.023810573681597405,0.9024232493071618,756.5659521409499,717.7634677525099,763.8264103308593,-0.38805896285837216,-0.3697597523450778,0.01829921051329436,0.6397605648827044,0.9967397636835182
audiobook,returnCrossMs__mean,1507.7919751136478,184.42905027529284,383.3969459832905,-0.11382344273158732,0.7730738036075413,0.04338815648646638,0.8231622329327181,1482.897531637637,1357.3937476041128,1437.4348990086235,-0.06046646443547985,-0.2843149794501845,-0.22384851501470468,0.8995214679130524,0.9967397636835182
audiobook,exhaleStartMs__mean,1507.7919751136478,184.42905027529284,383.7821648381446,-0.11403045226518978,0.7726019911765332,0.04338815648646638,0.8231622329327181,1483.251193914185,1356.6101880264357,1436.8275063067895,-0.05958105063088314,-0.28650346543942223,-0.22692241480853909,0.8995214679130524,0.9967397636835182
audiobook,exhaleTroughMs__mean,2172.6957119450685,325.58904174060683,648.5398007738307,0.47239458954593644,0.26697959660967124,0.012963534559980809,0.9467865993958071,2410.081187458899,2228.8062487063307,2547.7775734565985,0.3775983974615022,0.6152492668037008,-0.23765086934219865,0.5707839651655043,0.9967397636835182
audiobook,endSymMs__mean,4345.391423890137,651.1780834812137,1297.0796015476615,0.4723945895459364,0.2669795966096714,0.012963534559980809,0.9467865993958071,4820.162374917798,4457.6124974126615,5095.555146913197,0.3775983974615022,0.6152492668037008,-0.23765086934219865,0.5707839651655043,0.9967397636835182
audiobook,breathLenMs__mean,4241.526268687157,533.9616731484865,1776.6645255709764,0.6923398757263672,0.07400032602751684,-0.03280567929464532,0.8658452532306651,5424.7627446940905,5113.1451229748145,4569.245412450794,0.6334921948590461,0.42988974965332866,0.2036024452057174,0.3588927780877786,0.9967397636835182
audiobook,inhaleVolume__mean,1595.7704627729865,297.7422022436823,473.2940381231559,0.3005773432048728,0.4711920761475761,-0.04682746157380823,0.8093898167123548,1775.8200924624284,1640.4148650883535,1590.8759595789252,0.3395872679851232,-0.016131347143735892,0.3234559208413873,0.6626140934028462,0.9967397636835182
audiobook,inhaleDuration__mean,1.5652346430402417,0.215101881626991,0.44140626230297664,0.20305024146409525,0.6144508436559565,0.026456192979552675,0.8916413435081655,1.6774425952197094,1.4846009644007214,1.6468475742048712,0.23327253067327675,0.28968051128505035,-0.0564079806117736,0.7755864970374979,0.9967397636835182
audiobook,peakInspFlow__mean,1.7822397933411362,0.12864280763762878,0.2981756806697012,0.7516105224849154,0.07827451125881676,-0.22884606927313061,0.23244224982844902,1.942135324918452,2.0091231836780885,1.7456204302128933,0.6204474869417315,-0.3185182723709971,0.30192921457073435,0.3588927780877786,0.9967397636835182
audiobook,breathLength__mean,4.241526268687157,0.5339616731484866,1.7766645255709763,0.6923398757263673,0.07400032602751674,-0.03280567929464532,0.8658452532306651,5.424762744694091,5.113145122974815,4.569245412450794,0.6334921948590463,0.42988974965332877,0.20360244520571752,0.3588927780877786,0.9967397636835182
audiobook,w1_rfreqPW__mean,42.30144263503125,2.2940987320685027,1.775030155521562,0.5778154396513643,0.34402975371028804,-0.1960403899784853,0.30810563118859174,43.6660194566272,42.69637703707171,43.384571879956326,0.6190052354779542,0.6241877370758926,-0.005182501597938427,0.6290413087861608,0.9967397636835182
