analysis,task,metric,control_CV,n_ctrl,n_resp,n_nonresp,sep_cd,sep_cd_lo,sep_cd_hi,cd_sig,sep_rn,recovery_rho,isRidgeFreq,smallNonResp
all_breaths,cueTask,inhalePeakMs,0.3764614816563746,11,10,19,0.16701457916949536,NA,NA,0,0.895190901420511,0.08611415107403705,0,0
all_breaths,cueTask,returnCrossMs,0.2816471681346304,11,10,19,0.12273872643922415,NA,NA,0,1.162773843724759,-0.07319702841293149,0,0
all_breaths,cueTask,exhaleStartMs,0.2816471681346304,11,10,19,0.12273872643922415,NA,NA,0,1.162773843724759,-0.07319702841293149,0,0
all_breaths,cueTask,exhaleTroughMs,0.13239467082765038,11,10,19,0.39410579929896006,NA,NA,0,0.1542334467475981,-0.22820250034619818,0,0
all_breaths,cueTask,endSymMs,0.13239467082767983,11,10,19,0.39410579929896006,NA,NA,0,0.1542334467475981,-0.22820250034619818,0,0
all_breaths,cueTask,breathLenMs,0.13239467082765038,11,10,19,0.39410579929896006,NA,NA,0,0.1542334467475981,-0.22820250034619818,0,0
all_breaths,cueTask,inhaleVolume,1.0466400167023875,11,10,19,0.2899955668822348,NA,NA,0,0.864600048497026,0.0760675001153994,0,0
all_breaths,cueTask,inhaleDuration,0.37646148072184815,11,10,19,0.16701457916949525,NA,NA,0,0.8951909014205105,0.08611415107403705,0,0
all_breaths,cueTask,peakInspFlow,0.6992441768501823,11,10,19,0.45042919078333454,NA,NA,0,0.76226767033249,-0.012917122661105557,0,0
all_breaths,cueTask,breathLength,0.13239467076878406,11,10,19,0.39410579929896,NA,NA,0,0.15423344674759795,-0.22820250034619818,0,0
all_breaths,cueTask,w1_rfreqPW,0.05248892842127818,11,10,19,-0.40102477657651314,NA,NA,0,-0.35040444767512846,0.027269481173445066,1,0
all_breaths,cueTask,w1_rfreqGated,0.06021869442861755,11,10,19,-0.3763825133575276,NA,NA,0,-0.4264855502139849,-0.07463226426416544,1,0
all_breaths,cueTask,w1_rfreqRaw,0.05127578870752891,11,10,19,-0.5034017584281927,NA,NA,0,-0.6206019005026724,0.09903127373514262,1,0
all_breaths,cueTask,w1_rpowZ,0.11659497233739732,11,10,19,0.09551487297046905,NA,NA,0,-0.11959868063373459,0.010046650958637656,0,0
all_breaths,cueTask,w1_rpowDb,1.6701569918259613,11,10,19,-1.435431953505155,NA,NA,0,-0.5283970814371386,-0.06745608500799569,0,0
all_breaths,cueTask,w1_bandDb,4.364813477041239,11,10,19,-1.4171892125836807,NA,NA,0,-0.6114597790857493,-0.11625410394995,0,0
all_breaths,cueTask,w1_aucZ,0.11659497226954493,11,10,19,0.09551487297046907,NA,NA,0,-0.11959868063373459,0.010046650958637656,0,0
all_breaths,cueTask,w2_rfreqPW,0.03146245633089391,11,10,19,-0.5268773261794572,NA,NA,0,0.3830973911778444,0.31718712312270314,1,0
all_breaths,cueTask,w2_rfreqGated,0.042269342998305044,11,10,19,-0.35587556065126186,NA,NA,0,0.4302121909399949,0.2310729720486661,1,0
