feature_set,mean_auc,median_auc,mean_bacc,n_subj_auc_gt_0.5,wilcox_auc_p,wilcox_bacc_p,fisher_perm_p_bacc,fisher_perm_p_auc
gamma_only,0.7895887606630421,0.7800368729216856,0.7208745199815199,6,0.015625000000000007,0.015625000000000007,0.22808853053218817,0.22808853053218817
gamma_airflow,0.8012454901495456,0.8558408808035902,0.7583721432472825,5,0.031250000000000014,0.015625000000000007,0.22808853053218817,0.2735984214481897
