band,metric,n,r_pearson,p_pearson,r_spear,p_spear
gamma,earlyBandMax,9,-0.039688447118515574,0.9192534149768484,-0.016666666666666666,0.9815696649029982
gamma,lateBandMax,9,-0.4990651381403988,0.17139985575677782,-0.31666666666666665,0.41008046737213405
gamma,peakLatMs,9,-0.1502406181598731,0.6996311997147571,-0.05,0.9116181657848325
theta,earlyBandMax,9,0.25728250915871237,0.5039260904995257,-0.05,0.9116181657848325
theta,lateBandMax,9,0.1185952837793269,0.7612135045879916,0.23333333333333334,0.5517085537918871
theta,peakLatMs,9,-0.381175368034277,0.31145715927687523,-0.21757512627648798,0.5738746583219771
