sessID,participant,task,category,block,band,window,winMid,medZ,medZ_ninv,nBreaths
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,focusedBreathing,high,1000-1500,1250,0.551490362068842,0.054605682697778,102
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,focusedBreathing,high,1500-2000,1750,-0.367537699809911,-0.0363916550418082,102
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,focusedBreathing,low,0-500,250,0.349861446143085,0.0346414451280842,102
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,focusedBreathing,low,500-1000,750,0.132582300150202,0.0131276038735918,102
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,focusedBreathing,low,1000-1500,1250,-0.119829093085958,-0.0118648482096185,102
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,focusedBreathing,low,1500-2000,1750,0.193537653069994,0.0191630831660727,102
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,audiobook,high,0-500,250,0.132857941753426,0.0174451024087272,58
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,audiobook,high,500-1000,750,3.55175813847947,0.466368691544228,58
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,audiobook,high,1000-1500,1250,1.22038710813813,0.16024467787761,58
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,audiobook,high,1500-2000,1750,1.055197915993,0.138554274310055,58
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,audiobook,low,0-500,250,0.315914268887407,0.0414815757370927,58
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,audiobook,low,500-1000,750,-0.0942727424759483,-0.01237861753042,58
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,audiobook,low,1000-1500,1250,-0.533436621847936,-0.0700436599715932,58
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,audiobook,low,1500-2000,1750,0.266958640426894,0.0350533867955368,58
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,focusedBreathing,high,0-500,250,0.610739495896282,0.0781971795063497,61
