measure,mean_auc,n_gt_chance,wilcox_p,fisher_perm_p
gamma,0.6850377252696309,5,0.06250000000000003,7.30392864178019e-7
gamma_detrended,0.6819682087717218,5,0.06250000000000003,7.019281744694895e-7
time_only,0.6508220539467541,6,0.031250000000000014,NA
