sessID,cond,ratio
250908_OBE_NWU_AS,ATB,1.13870528863283
250908_OBE_NWU_AS,ATB,1.04462629351519
250908_OBE_NWU_AS,ATB,1.06737204625483
250908_OBE_NWU_AS,ATB,0.940780203150711
250908_OBE_NWU_AS,ATB,1.10349620667661
250908_OBE_NWU_AS,ATB,1.09172912883854
250908_OBE_NWU_AS,ATB,1.13020787687074
250908_OBE_NWU_AS,ATB,0.940685385898106
250908_OBE_NWU_AS,ATB,0.908861699876358
250908_OBE_NWU_AS,ATB,1.12639663956611
250908_OBE_NWU_AS,ATB,1.08323139056136
250908_OBE_NWU_AS,ATB,1.07232681428406
250908_OBE_NWU_AS,ATB,1.12053841014943
250908_OBE_NWU_AS,ATB,1.08533954561867
250908_OBE_NWU_AS,ATB,1.03307700316048
250908_OBE_NWU_AS,ATB,0.845137352098518
250908_OBE_NWU_AS,ATB,1.02249725572074
250908_OBE_NWU_AS,ATB,0.905844975734721
250908_OBE_NWU_AS,ATB,1.17455678000552
250908_OBE_NWU_AS,ATB,0.937500484629413
250908_OBE_NWU_AS,ATB,1.13225295307055
250908_OBE_NWU_AS,ATB,0.960284360358125
250908_OBE_NWU_AS,ATB,1.26237350650377
250908_OBE_NWU_AS,ATB,1.02482667772175
250908_OBE_NWU_AS,ATB,1.082475021256
250908_OBE_NWU_AS,ATB,1.44485128038518
250908_OBE_NWU_AS,ATB,1.23843415906957
250908_OBE_NWU_AS,ATB,1.0629014957516
250908_OBE_NWU_AS,ATB,1.02551958165673
250908_OBE_NWU_AS,ATB,1.17238178771631
250908_OBE_NWU_AS,ATB,1.03591759541303
250908_OBE_NWU_AS,ATB,1.22567846583042
250908_OBE_NWU_AS,ATB,1.96499689540588
250904_OBE_NWU_TI_1,baseline,0.875512656328227
250904_OBE_NWU_TI_1,baseline,1.2058431421486
250904_OBE_NWU_TI_1,baseline,1.04688183102714
250904_OBE_NWU_TI_1,baseline,0.871756615867761
250904_OBE_NWU_TI_1,baseline,0.925685330724718
250904_OBE_NWU_TI_1,baseline,0.981722797205742
250904_OBE_NWU_TI_1,baseline,0.976744810683117
250904_OBE_NWU_TI_1,baseline,1.26181798007463
250904_OBE_NWU_TI_1,baseline,0.87786869813098
250904_OBE_NWU_TI_1,baseline,0.875123840895181
250904_OBE_NWU_TI_1,baseline,1.01771952184528
250904_OBE_NWU_TI_1,baseline,0.946444121661361
250904_OBE_NWU_TI_1,baseline,1.15524521034184
250904_OBE_NWU_TI_1,baseline,1.2527078882644
250904_OBE_NWU_TI_1,baseline,0.86084986883604
250904_OBE_NWU_TI_1,baseline,1.01621944602631
250904_OBE_NWU_TI_1,baseline,0.812714259538849
250904_OBE_NWU_TI_1,baseline,0.983980760412751
250904_OBE_NWU_TI_1,baseline,1.07934023892603
250904_OBE_NWU_TI_1,baseline,0.898298272340958
250904_OBE_NWU_TI_1,baseline,0.950097708578547
250904_OBE_NWU_TI_1,baseline,1.28779579561848
250904_OBE_NWU_TI_1,baseline,1.00647227265407
250904_OBE_NWU_TI_1,baseline,1.20551981593316
250904_OBE_NWU_TI_1,baseline,0.791704432769579
250904_OBE_NWU_TI_1,baseline,1.03694907650655
250904_OBE_NWU_TI_1,baseline,0.872234548599329
250904_OBE_NWU_TI_1,baseline,1.13884530447005
250904_OBE_NWU_TI_1,baseline,0.864282182507741
250904_OBE_NWU_TI_1,baseline,1.05226998094499
250904_OBE_NWU_TI_1,baseline,0.910782361059809
250904_OBE_NWU_TI_1,baseline,0.957924973606323
250904_OBE_NWU_TI_1,baseline,1.20141384216418
250904_OBE_NWU_TI_1,baseline,0.816785885582152
250904_OBE_NWU_TI_1,baseline,1.07883637605573
250904_OBE_NWU_TI_1,baseline,0.85245803297893
250904_OBE_NWU_TI_1,baseline,1.08339660121773
250904_OBE_NWU_TI_1,baseline,0.970728040477138
250904_OBE_NWU_TI_1,baseline,0.821917423243874
250904_OBE_NWU_TI_1,baseline,0.866309523526311
250904_OBE_NWU_TI_1,baseline,1.35848806363028
250904_OBE_NWU_TI_1,baseline,1.42035328030489
250904_OBE_NWU_TI_1,baseline,0.888923286319879
250904_OBE_NWU_TI_1,baseline,0.938250576931075
250904_OBE_NWU_TI_1,baseline,1.07041953544806
250904_OBE_NWU_TI_1,baseline,1.19636584735055
250904_OBE_NWU_TI_1,baseline,1.07681966357859
250904_OBE_NWU_TI_1,baseline,1.20281571485581
250904_OBE_NWU_TI_1,baseline,1.1586983351879
250904_OBE_NWU_TI_1,baseline,0.908700326346772
250904_OBE_NWU_TI_1,baseline,0.981399896980652
250904_OBE_NWU_TI_1,baseline,1.25874407053892
250904_OBE_NWU_TI_1,baseline,0.922652809224468
250904_OBE_NWU_TI_1,baseline,1.03347935809306
250904_OBE_NWU_TI_1,baseline,1.17172805633237
250904_OBE_NWU_TI_1,baseline,0.937503606760072
250904_OBE_NWU_TI_1,baseline,0.958669297857269
250904_OBE_NWU_TI_1,baseline,1.11470705994489
250904_OBE_NWU_TI_1,baseline,0.983101329694381
250904_OBE_NWU_TI_1,baseline,1.07357039918922
250904_OBE_NWU_TI_1,baseline,0.926898703537215
250904_OBE_NWU_TI_1,baseline,1.37266451904174
