"taskCategory","gammaType","emmean","SE","df","lower.CL","upper.CL"
"nonolf","earlyHigh",1.37345195718433,0.732138618795643,58.4500915823108,-0.0918424771318558,2.83874639150052
"olf","earlyHigh",2.1210858506932,0.567419656996254,51.8788323715262,0.9824117062262,3.2597599951602
"nonolf","lateLow",-0.0112926068722485,0.732138618795643,58.4500915823106,-1.47658704118844,1.45400182744394
"olf","lateLow",5.746880077347,0.567419656996254,51.8788323715261,4.60820593288,6.885554221814
