sess,cond,freqRange,minLat_ms,maxLat_ms,minPct,maxPct,breathMs
AS,baseline,33,3826,804,84.4591611479029,17.7483443708609,4530
AS,baseline,31,3520,2370,74.5446844557391,50.1905972045743,4722
AS,baseline,31,200,1004,5.10725229826353,25.6384065372829,3916
AS,baseline,30,214,2896,4.51476793248945,61.0970464135021,4740
AS,baseline,31,3260,936,83.5468990261404,23.9876986160943,3902
AS,baseline,26,2694,1002,74.5022123893805,27.7101769911504,3616
AS,baseline,33,3216,2746,87.7250409165303,74.9045280960175,3666
AS,baseline,29,728,3356,19.7396963123644,90.997830802603,3688
AS,baseline,33,2686,1680,85.2698412698413,53.3333333333333,3150
AS,baseline,29,614,386,11.3619541080681,7.14285714285714,5404
AS,baseline,33,358,3874,8.11791383219955,87.8458049886621,4410
AS,baseline,28,3924,2644,86.968085106383,58.5992907801418,4512
AS,baseline,26,200,684,5.10464522715671,17.457886676876,3918
AS,baseline,27,3278,2732,95.1800232288037,79.3263646922183,3444
AS,baseline,28,200,670,5.34473543559594,17.9048637092464,3742
AS,baseline,33,2052,1606,54.6908315565032,42.8038379530917,3752
AS,baseline,31,220,2352,5.91397849462366,63.2258064516129,3720
AS,baseline,27,2792,1764,72.974385781495,46.1055933089388,3826
AS,baseline,31,3278,2086,73.6960431654676,46.8974820143885,4448
AS,baseline,28,342,3124,7.60337927967986,69.4530902623388,4498
AS,baseline,31,3908,2776,94.3961352657005,67.0531400966184,4140
AS,baseline,30,3110,2460,92.3396674584323,73.0403800475059,3368
AS,baseline,23,3126,2146,81.5336463223787,55.9728742827334,3834
AS,baseline,32,3838,902,90.9478672985782,21.3744075829384,4220
AS,baseline,33,2596,3000,58.3108715184187,67.3854447439353,4452
AS,baseline,26,200,1868,5.11247443762781,47.7505112474438,3912
AS,baseline,29,3666,1718,99.5114006514658,46.6340933767644,3684
AS,baseline,30,3132,480,88.9772727272727,13.6363636363636,3520
AS,baseline,32,3070,400,87.5142531356899,11.4025085518814,3508
AS,baseline,26,2526,1688,47.214953271028,31.5514018691589,5350
AS,baseline,25,414,982,13.3634602969658,31.697869593286,3098
AS,baseline,32,200,2364,5.46746856205577,64.6254784034992,3658
AS,baseline,31,3028,2108,85.3438556933484,59.4137542277339,3548
AS,baseline,29,3328,994,63.7059724349158,19.0275650842266,5224
