band,metric,n,mean_S1,mean_S2,mean_delta,dz,t_p,wilcox_p
gamma,earlyBandMax,9,0.0714842514830747,0.6346640526545005,0.5631798011714259,0.48000464913255375,0.18782439574611523,0.09765625
gamma,lateBandMax,9,-6.011820812831865e-4,1.0767432051697832,1.0773443872510664,0.683914379085503,0.07430677775888092,0.0546875
gamma,peakLatMs,9,129.33333333333334,172,42.666666666666664,0.09825657622577043,0.775674305264918,0.65234375
theta,earlyBandMax,9,-0.21362226426636033,0.6583148418941913,0.8719371061605518,0.19445065066923858,0.5757284912061857,0.49609375
theta,lateBandMax,9,-1.4467856888191721,-0.7989481713988372,0.6478375174203348,0.1712324291835409,0.6213471530144699,0.49609375
theta,peakLatMs,9,296.22222222222223,-35.111111111111114,-331.3333333333333,-0.6264822981133412,0.09698799723200405,0.15476920527702337
