metric,n,mean_baseline,mean_ATB,diff,dz,t_p,wilcox_p
"theta power (band-z mean 0-500)",7,0.04251195102015,1.26298563829782,-1.22047368727767,-0.408598314812378,0.321199627122141,0.46875
"theta power (band-z max 0-500)",7,1.7682553159378,2.31696524612006,-0.548709930182263,-0.258086322104418,0.520192097575899,0.46875
"theta ITPC (0-500, n-matched)",7,0.125754621953443,0.108968109895057,0.0167865120583858,0.255750006255766,0.52384164961873,0.375
