window_ms,mean_audiobook,mean_focus,diff_A_minus_F,dz,t_p,wilcox_p
0-500,0.0775288901793368,0.410459225464582,-0.332930335285245,-0.528134684088226,0.252317401544988,0.4375
500-1000,1.30670968254076,1.07229872456785,0.23441095797291,0.159115970425658,0.712768095058723,0.5625
1000-1500,1.11825749197388,1.02382086856375,0.0944366234101302,0.0867163289375688,0.84017452265791,0.84375
1500-2000,0.83839062846151,0.649365020232426,0.189025608229084,0.227628015371783,0.601175890036115,0.5625
2000-3000,0.775252870865861,0.772010981896556,0.00324188896930531,0.00450820368937239,0.991616363946479,1
0-2000,0.835601754389773,0.787662072381309,0.0479396820084639,0.0563269356462212,0.895646619905894,0.84375
