session,group,type,channel,trial,latHi,latLo,latDiff,included
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,1,306,542,236,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,2,706,598,-108,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,3,2586,2530,-56,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,4,326,380,54,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,5,960,872,-88,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,6,186,190,4,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,7,472,392,-80,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,8,456,380,-76,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,9,2996,2892,-104,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,10,1770,1794,24,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,11,1808,1748,-60,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,12,2536,2428,-108,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,13,2428,2360,-68,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,14,2748,2868,120,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,15,2480,2474,-6,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,16,1614,1552,-62,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,17,1038,1006,-32,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,18,494,364,-130,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,19,1790,1772,-18,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,20,1050,1058,8,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,21,550,688,138,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,22,2,38,36,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,23,2658,2774,116,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,24,116,16,-100,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,25,2806,2764,-42,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,26,78,98,20,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,27,278,308,30,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,28,2668,2594,-74,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,29,2436,2488,52,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,30,370,72,-298,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,31,2334,2412,78,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,32,896,908,12,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,33,3000,2942,-58,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,34,2514,2380,-134,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,35,34,78,44,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,36,520,564,44,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,37,110,2,-108,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,38,112,44,-68,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,1,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,2,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,3,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,4,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,5,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,6,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,7,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,8,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,9,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,10,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,11,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,12,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,13,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,14,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,15,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,16,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,17,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,18,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,19,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,20,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,21,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,22,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,23,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,24,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,25,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,26,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,27,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,28,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,29,NaN,NaN,NaN,0
