elementID,suggestedLabel,spectralCentroidHz,lowBandWeight,midBandWeight,highBandWeight,activationSparsity
1,continuous foamy hiss,2755.74846170903,0.544945660950883,4.42819920362566,7.7547420909218,0.0999945380560942
2,whitewater decay,1823.88590384465,2.18543710171008,11.3162133993771,6.81607524080246,0.0999945380560942
3,deep incoming rumble,187.652879351105,6.92722213275469,0.346142777656091,0.211995473890885,0.0999945380560942
4,lapping water movement,861.615139918166,1.46082728852936,10.5517274350858,1.0069253788623,0.0999945380560942
5,deep incoming rumble,121.457702696603,5.21902262084384,0.272521614925764,0.0701812348194381,0.0999945380560942
6,broadband crash,1487.68762284568,3.04360847669193,8.01469890567336,4.67594165051196,0.0999945380560942
7,deep incoming rumble,363.92511864437,5.3530166531765,0.899472247608915,0.322837003057813,0.0999945380560942
8,deep incoming rumble,141.281987807206,6.78410746658955,0.469120849821133,0.108604589386487,0.0999945380560942
9,deep incoming rumble,516.335783687464,5.01917772339526,1.54576174375244,0.506055041346792,0.0999945380560942
10,lapping water movement,908.898161320701,1.65706805439018,6.37744091709016,0.851517676515347,0.0999945380560942
